#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         356     1.04912     1.24938   0.0153042
         357     1.04966     1.24882   0.0152715
         358     1.05039     1.24826   0.0152389
         359     1.05132     1.24772   0.0152063
         360     1.05243     1.24717   0.0151738
         361     1.05373     1.24664   0.0151412
         362     1.05519     1.24611   0.0151086
         363     1.05681     1.24559    0.015076
         364     1.05858     1.24507   0.0150433
         365     1.06048     1.24457   0.0150106
         366     1.06251     1.24407   0.0149778
         367     1.06465     1.24358    0.014945
         368     1.06688      1.2431   0.0149121
         369     1.06919     1.24263   0.0148791
         370     1.07157     1.24217   0.0148461
         371       1.074     1.24171    0.014813
         372     1.07647     1.24127   0.0147798
         373     1.07897     1.24084   0.0147466
         374     1.08148     1.24041   0.0147133
         375     1.08399     1.23999     0.01468
         376     1.08649     1.23958   0.0146466
         377     1.08897     1.23918   0.0146132
         378     1.09142     1.23879   0.0145798
         379     1.09383     1.23841   0.0145463
         380     1.09619     1.23804   0.0145129
         381     1.09849     1.23767   0.0144794
         382     1.10073     1.23731   0.0144459
         383      1.1029     1.23696   0.0144125
         384       1.105     1.23662    0.014379
         385     1.10701     1.23628   0.0143456
         386     1.10894     1.23595   0.0143123
         387     1.11077     1.23563   0.0142789
         388     1.11251     1.23531   0.0142457
         389     1.11416       1.235   0.0142124
         390     1.11569     1.23469   0.0141793
         391     1.11712     1.23439   0.0141462
         392     1.11842      1.2341   0.0141132
         393     1.11961      1.2338   0.0140803
         394     1.12067     1.23352   0.0140475
         395      1.1216     1.23323   0.0140148
         396     1.12238     1.23295   0.0139822
         397     1.12302     1.23268   0.0139497
         398      1.1235      1.2324   0.0139174
         399     1.12382     1.23213   0.0138852
         400     1.12397     1.23186   0.0138531
         401     1.12395     1.23159   0.0138211
         402     1.12376     1.23132   0.0137894
         403     1.12338     1.23106   0.0137578
         404     1.12283     1.23079   0.0137263
         405     1.12209     1.23052    0.013695
         406     1.12118     1.23025    0.013664
         407     1.12009     1.22998   0.0136331
         408     1.11885     1.22971   0.0136024
         409     1.11745     1.22943   0.0135719
         410     1.11591     1.22916   0.0135416
         411     1.11425     1.22888   0.0135115
         412      1.1125     1.22859   0.0134817
         413     1.11066     1.22831   0.0134521
         414     1.10878     1.22802   0.0134227
         415     1.10687     1.22773   0.0133935
         416     1.10497     1.22743   0.0133646
         417      1.1031     1.22713   0.0133358
         418     1.10129     1.22683   0.0133073
         419     1.09956     1.22653    0.013279
         420     1.09794     1.22622    0.013251
         421     1.09644     1.22591   0.0132231
         422     1.09509      1.2256   0.0131954
         423     1.09389     1.22529   0.0131678
         424     1.09286     1.22498   0.0131405
         425     1.09198     1.22467   0.0131133
         426     1.09126     1.22435   0.0130863
         427     1.09069     1.22404   0.0130594
         428     1.09025     1.22373   0.0130326
         429     1.08993     1.22342   0.0130059
         430     1.08971     1.22311   0.0129794
         431     1.08955      1.2228    0.012953
         432     1.08945     1.22249   0.0129267
         433     1.08937     1.22218   0.0129005
         434     1.08929     1.22187   0.0128744
         435     1.08918     1.22157   0.0128484
         436     1.08903     1.22127   0.0128225
         437     1.08883     1.22096   0.0127968
         438     1.08854     1.22066   0.0127711
         439     1.08817     1.22036   0.0127456
         440     1.08769     1.22006   0.0127202
         441     1.08712     1.21976   0.0126949
         442     1.08644     1.21945   0.0126698
         443     1.08565     1.21915   0.0126448
         444     1.08476     1.21885   0.0126199
         445     1.08378     1.21855   0.0125952
         446      1.0827     1.21824   0.0125707
         447     1.08154     1.21793   0.0125463
         448     1.08031     1.21763    0.012522
         449     1.07902     1.21732   0.0124979
         450     1.07769     1.21701    0.012474
         451     1.07632      1.2167   0.0124503
         452     1.07492     1.21638   0.0124267
         453     1.07351     1.21607   0.0124032
         454      1.0721     1.21575     0.01238
         455      1.0707     1.21543   0.0123569
         456     1.06931     1.21511   0.0123339
         457     1.06795     1.21479   0.0123111
         458     1.06661     1.21447   0.0122885
         459     1.06532     1.21414    0.012266
         460     1.06406     1.21381   0.0122437
         461     1.06285     1.21349   0.0122215
         462     1.06168     1.21316   0.0121995
         463     1.06058     1.21283   0.0121776
         464     1.05952      1.2125   0.0121558
         465     1.05853     1.21217   0.0121342
         466      1.0576     1.21184   0.0121127
         467     1.05674      1.2115   0.0120913
         468     1.05595     1.21117     0.01207
         469     1.05524     1.21084   0.0120489
         470     1.05462     1.21051   0.0120278
         471     1.05409     1.21017   0.0120069
         472     1.05366     1.20984    0.011986
         473     1.05334     1.20951   0.0119652
         474     1.05313     1.20918   0.0119445
         475     1.05303     1.20885   0.0119239
         476     1.05306     1.20853   0.0119033
         477      1.0532      1.2082   0.0118828
         478     1.05346     1.20788   0.0118624
         479     1.05384     1.20756    0.011842
         480     1.05433     1.20724   0.0118216
         481     1.05492     1.20692   0.0118013
         482      1.0556     1.20661    0.011781
         483     1.05636     1.20629   0.0117607
         484     1.05717     1.20599   0.0117404
         485     1.05803     1.20568   0.0117202
         486     1.05892     1.20538   0.0116999
         487     1.05981     1.20508   0.0116797
         488     1.06068     1.20478   0.0116596
         489     1.06152     1.20449   0.0116394
         490     1.06231      1.2042   0.0116193
         491     1.06302     1.20391   0.0115991
         492     1.06364     1.20363   0.0115791
         493     1.06416     1.20335    0.011559
         494     1.06456     1.20306   0.0115391
         495     1.06482     1.20279   0.0115191
         496     1.06495     1.20251   0.0114993
         497     1.06491     1.20223   0.0114794
         498     1.06472     1.20195   0.0114597
         499     1.06437     1.20168   0.0114401
         500     1.06384      1.2014   0.0114205
         501     1.06314     1.20113    0.011401
         502     1.06226     1.20085   0.0113817
         503     1.06121     1.20057   0.0113625
         504     1.05998     1.20029   0.0113433
         505     1.05859     1.20001   0.0113243
         506     1.05702     1.19973   0.0113055
         507     1.05529     1.19945   0.0112868
         508     1.05341     1.19916   0.0112682
         509     1.05138     1.19887   0.0112498
         510     1.04921     1.19857   0.0112316
         511     1.04692     1.19828   0.0112135
         512     1.04452     1.19798   0.0111956
         513     1.04202     1.19767   0.0111779
         514     1.03943     1.19737   0.0111604
         515     1.03679     1.19705   0.0111431
         516     1.03409     1.19674    0.011126
         517     1.03137     1.19642   0.0111091
         518     1.02864     1.19609   0.0110924
         519     1.02591     1.19577   0.0110758
         520      1.0232     1.19543   0.0110595
         521     1.02053      1.1951   0.0110434
         522      1.0179     1.19476   0.0110274
         523     1.01533     1.19442   0.0110117
         524     1.01282     1.19407   0.0109961
         525     1.01039     1.19372   0.0109807
         526     1.00804     1.19337   0.0109655
         527     1.00576     1.19301   0.0109505
         528     1.00356     1.19265   0.0109356
         529     1.00144     1.19229   0.0109209
         530    0.999385     1.19193   0.0109064
         531    0.997407     1.19156    0.010892
         532    0.995498     1.19119   0.0108778
         533    0.993654     1.19082   0.0108637
         534    0.991876     1.19045   0.0108497
         535    0.990162     1.19007   0.0108359
         536    0.988515      1.1897   0.0108222
         537    0.986935     1.18932   0.0108086
         538    0.985427     1.18894   0.0107952
         539    0.983996     1.18856   0.0107818
         540     0.98265     1.18818   0.0107686
         541    0.981397      1.1878   0.0107555
         542    0.980248     1.18741   0.0107425
         543    0.979215     1.18703   0.0107295
         544    0.978306     1.18665   0.0107167
         545    0.977533     1.18626   0.0107039
         546    0.976909     1.18588   0.0106911
         547    0.976445      1.1855   0.0106784
         548    0.976152     1.18512   0.0106658
         549    0.976039     1.18473   0.0106531
         550    0.976113     1.18436   0.0106405
         551    0.976381     1.18398   0.0106279
         552    0.976846      1.1836   0.0106153
         553    0.977513     1.18323   0.0106026
         554    0.978383     1.18286   0.0105899
         555    0.979455     1.18249   0.0105772
         556    0.980728     1.18213   0.0105644
         557    0.982199     1.18177   0.0105515
         558    0.983862     1.18142   0.0105386
         559    0.985712     1.18107   0.0105255
         560    0.987742     1.18072   0.0105124
         561    0.989944     1.18038   0.0104992
         562    0.992308     1.18005   0.0104858
         563    0.994826     1.17972   0.0104723
         564    0.997486      1.1794   0.0104588
         565     1.00028     1.17908    0.010445
         566     1.00319     1.17877   0.0104312
         567     1.00622     1.17846   0.0104173
         568     1.00934     1.17817   0.0104032
         569     1.01255     1.17787    0.010389
         570     1.01585     1.17759   0.0103746
         571      1.0192     1.17731   0.0103602
         572     1.02262     1.17704   0.0103456
         573     1.02609     1.17678   0.0103309
         574      1.0296     1.17652   0.0103161
         575     1.03315     1.17627   0.0103011
         576     1.03672     1.17603   0.0102861
         577     1.04031      1.1758    0.010271
         578     1.04392     1.17557   0.0102557
         579     1.04754     1.17535   0.0102404
         580     1.05117     1.17513    0.010225
         581     1.05482     1.17493   0.0102095
         582     1.05847     1.17472   0.0101939
         583     1.06213     1.17453   0.0101782
         584      1.0658     1.17435   0.0101625
         585     1.06949     1.17417   0.0101467
         586     1.07318     1.17399   0.0101309
         587     1.07689     1.17383    0.010115
         588     1.08061     1.17367    0.010099
         589     1.08435     1.17352    0.010083
         590     1.08811     1.17337   0.0100669
         591     1.09187     1.17324   0.0100508
         592     1.09565      1.1731   0.0100347
         593     1.09944     1.17298   0.0100186
         594     1.10323     1.17286   0.0100024
         595     1.10702     1.17275  0.00998619
         596     1.11079     1.17265  0.00996998
         597     1.11454     1.17255  0.00995375
         598     1.11826     1.17246  0.00993752
         599     1.12193     1.17238  0.00992129
         600     1.12554      1.1723  0.00990506
         601     1.12907     1.17223  0.00988884
         602     1.13251     1.17216  0.00987263
         603     1.13585      1.1721  0.00985645
         604     1.13907     1.17205  0.00984028
         605     1.14216       1.172  0.00982414
         606     1.14512     1.17195  0.00980803
         607     1.14792     1.17191  0.00979195
         608     1.15056     1.17188  0.00977591
         609     1.15303     1.17185   0.0097599
         610     1.15532     1.17182  0.00974394
         611     1.15743      1.1718  0.00972802
         612     1.15937     1.17177  0.00971215
         613     1.16111     1.17176  0.00969632
         614     1.16268     1.17174  0.00968054
         615     1.16407     1.17173   0.0096648
         616     1.16528     1.17172  0.00964912
         617     1.16633     1.17171  0.00963349
         618     1.16722      1.1717   0.0096179
         619     1.16797      1.1717  0.00960236
         620     1.16857     1.17169  0.00958688
         621     1.16905     1.17169  0.00957144
         622     1.16942     1.17168  0.00955605
         623     1.16968     1.17168  0.00954072
         624     1.16986     1.17168  0.00952543
         625     1.16996     1.17168  0.00951019
         626     1.16999     1.17167  0.00949499
         627     1.16997     1.17167  0.00947985
         628      1.1699     1.17167  0.00946476
         629      1.1698     1.17166  0.00944971
         630     1.16967     1.17166  0.00943471
         631     1.16953     1.17166  0.00941976
         632     1.16937     1.17165  0.00940486
         633      1.1692     1.17165     0.00939
         634     1.16902     1.17165  0.00937519
         635     1.16883     1.17164  0.00936043
         636     1.16864     1.17164  0.00934571
         637     1.16844     1.17163  0.00933104
         638     1.16823     1.17163  0.00931642
         639     1.16801     1.17162  0.00930184
         640     1.16778     1.17162  0.00928731
         641     1.16753     1.17161  0.00927282
         642     1.16727      1.1716  0.00925838
         643     1.16698     1.17159  0.00924398
         644     1.16668     1.17159  0.00922963
         645     1.16636     1.17158  0.00921532
         646     1.16602     1.17157  0.00920106
         647     1.16566     1.17156  0.00918685
         648     1.16529     1.17155  0.00917267
         649     1.16491     1.17154  0.00915855
         650     1.16453     1.17153  0.00914446
         651     1.16414     1.17152  0.00913042
         652     1.16376     1.17151  0.00911643
         653      1.1634      1.1715  0.00910248
         654     1.16306     1.17148  0.00908857
         655     1.16274     1.17147   0.0090747
         656     1.16245     1.17146  0.00906088
         657      1.1622     1.17144   0.0090471
         658       1.162     1.17143  0.00903336
         659     1.16183     1.17141  0.00901966
         660     1.16172      1.1714  0.00900601
         661     1.16165     1.17138   0.0089924
         662     1.16162     1.17137  0.00897882
         663     1.16164     1.17135  0.00896529
         664     1.16169     1.17134   0.0089518
         665     1.16177     1.17132  0.00893835
         666     1.16187     1.17131  0.00892494
         667     1.16199      1.1713  0.00891157
         668     1.16211     1.17128  0.00889824
         669     1.16223     1.17127  0.00888495
         670     1.16233     1.17126   0.0088717
         671     1.16241     1.17124  0.00885849
         672     1.16247     1.17123  0.00884532
         673     1.16249     1.17122  0.00883218
         674     1.16247      1.1712  0.00881909
         675     1.16241     1.17119  0.00880603
         676      1.1623     1.17118  0.00879302
         677     1.16214     1.17116  0.00878004
         678     1.16193     1.17115   0.0087671
         679     1.16168     1.17114   0.0087542
         680     1.16139     1.17112  0.00874134
         681     1.16105     1.17111  0.00872851
         682     1.16069     1.17109  0.00871573
         683     1.16029     1.17108  0.00870298
         684     1.15988     1.17106  0.00869027
         685     1.15945     1.17104   0.0086776
         686     1.15902     1.17103  0.00866497
         687      1.1586     1.17101  0.00865238
         688     1.15819     1.17099  0.00863982
         689     1.15781     1.17097   0.0086273
         690     1.15747     1.17095  0.00861482
         691     1.15717     1.17093  0.00860238
         692     1.15693     1.17091  0.00858997
         693     1.15675     1.17089   0.0085776
         694     1.15664     1.17087  0.00856526
         695     1.15661     1.17085  0.00855297
         696     1.15666     1.17083   0.0085407
         697      1.1568     1.17081  0.00852847
         698     1.15703     1.17079  0.00851628
         699     1.15736     1.17077  0.00850411
         700     1.15779     1.17075  0.00849199
         701     1.15831     1.17073  0.00847989
         702     1.15893     1.17072  0.00846783
         703     1.15964      1.1707   0.0084558
         704     1.16044     1.17069   0.0084438
         705     1.16132     1.17067  0.00843183
         706     1.16228     1.17066   0.0084199
         707     1.16329     1.17065  0.00840799
         708     1.16437     1.17064  0.00839612
         709     1.16549     1.17063  0.00838428
         710     1.16664     1.17063  0.00837248
         711     1.16781     1.17062   0.0083607
         712     1.16898     1.17062  0.00834896
         713     1.17015     1.17062  0.00833725
         714     1.17129     1.17062  0.00832557
         715     1.17239     1.17062  0.00831393
         716     1.17344     1.17063  0.00830232
         717     1.17443     1.17063  0.00829074
         718     1.17534     1.17064   0.0082792
         719     1.17615     1.17065  0.00826769
         720     1.17686     1.17066  0.00825621
         721     1.17745     1.17067  0.00824476
         722     1.17792     1.17068  0.00823335
         723     1.17825     1.17069  0.00822197
         724     1.17844      1.1707  0.00821062
         725     1.17849     1.17071   0.0081993
         726     1.17839     1.17072  0.00818801
         727     1.17814     1.17073  0.00817676
         728     1.17775     1.17074  0.00816553
         729      1.1772     1.17075  0.00815433
         730     1.17651     1.17076  0.00814317
         731     1.17568     1.17076  0.00813203
         732     1.17471     1.17077  0.00812092
         733     1.17361     1.17077  0.00810984
         734     1.17239     1.17077   0.0080988
