#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         322   0.0865006   0.0935599 0.000433102
         323   0.0865868   0.0935384 0.000432299
         324     0.08668   0.0935172 0.000431482
         325   0.0867802   0.0934965 0.000430652
         326   0.0868878   0.0934762 0.000429808
         327   0.0870022   0.0934564  0.00042895
         328    0.087124   0.0934371 0.000428076
         329   0.0872532   0.0934183 0.000427187
         330   0.0873903      0.0934 0.000426283
         331   0.0875353   0.0933823 0.000425363
         332   0.0876877   0.0933651 0.000424428
         333   0.0878474   0.0933486 0.000423477
         334   0.0880141   0.0933326  0.00042251
         335    0.088188   0.0933172 0.000421528
         336   0.0883686   0.0933025  0.00042053
         337   0.0885559   0.0932884 0.000419518
         338    0.088749    0.093275 0.000418492
         339    0.088948   0.0932622 0.000417452
         340   0.0891521   0.0932502 0.000416399
         341   0.0893609   0.0932387 0.000415334
         342   0.0895732    0.093228 0.000414258
         343   0.0897895    0.093218 0.000413172
         344   0.0900089   0.0932087 0.000412076
         345   0.0902306      0.0932 0.000410972
         346   0.0904544   0.0931921 0.000409861
         347    0.090679   0.0931849 0.000408744
         348   0.0909039   0.0931783 0.000407622
         349   0.0911286   0.0931724 0.000406496
         350   0.0913526   0.0931672 0.000405368
         351   0.0915751   0.0931627 0.000404238
         352   0.0917962   0.0931588 0.000403108
         353    0.092014   0.0931556  0.00040198
         354   0.0922288    0.093153 0.000400853
         355   0.0924402    0.093151 0.000399728
         356    0.092648   0.0931495 0.000398608
         357   0.0928511   0.0931487 0.000397492
         358   0.0930499   0.0931484 0.000396382
         359   0.0932438   0.0931487 0.000395278
         360   0.0934333   0.0931495 0.000394181
         361   0.0936168   0.0931508 0.000393091
         362   0.0937951   0.0931526 0.000392009
         363    0.093968   0.0931548 0.000390936
         364   0.0941359   0.0931575 0.000389871
         365   0.0942987   0.0931606 0.000388815
         366   0.0944562   0.0931642 0.000387769
         367   0.0946091   0.0931681 0.000386733
         368   0.0947579   0.0931724 0.000385706
         369   0.0949016   0.0931771 0.000384689
         370   0.0950413   0.0931821 0.000383682
         371   0.0951772   0.0931875 0.000382686
         372   0.0953095   0.0931932   0.0003817
         373   0.0954389   0.0931992 0.000380724
         374   0.0955657   0.0932056 0.000379758
         375   0.0956901   0.0932122 0.000378803
         376   0.0958119   0.0932191 0.000377859
         377   0.0959315   0.0932263 0.000376925
         378   0.0960493   0.0932338 0.000376002
         379   0.0961657   0.0932415  0.00037509
         380   0.0962809   0.0932495 0.000374188
         381   0.0963942   0.0932578 0.000373297
         382   0.0965061   0.0932663 0.000372416
         383   0.0966166    0.093275 0.000371547
         384   0.0967252    0.093284 0.000370688
         385   0.0968308   0.0932932 0.000369839
         386   0.0969339   0.0933026 0.000369002
         387   0.0970339   0.0933123 0.000368174
         388   0.0971308   0.0933221 0.000367357
         389   0.0972234   0.0933322 0.000366549
         390   0.0973107   0.0933424 0.000365751
         391   0.0973923   0.0933527 0.000364962
         392   0.0974666   0.0933632 0.000364182
         393   0.0975334   0.0933738  0.00036341
         394   0.0975914   0.0933845 0.000362645
         395   0.0976395   0.0933953 0.000361887
         396   0.0976757   0.0934061 0.000361135
         397   0.0976998   0.0934169 0.000360387
         398   0.0977107   0.0934277 0.000359643
         399   0.0977069   0.0934384 0.000358901
         400   0.0976872   0.0934491 0.000358161
         401   0.0976509   0.0934595 0.000357421
         402    0.097597   0.0934698  0.00035668
         403   0.0975248   0.0934799 0.000355937
         404   0.0974342   0.0934897 0.000355191
         405   0.0973238   0.0934991  0.00035444
         406   0.0971938   0.0935082 0.000353684
         407   0.0970444   0.0935169 0.000352921
         408   0.0968752   0.0935252 0.000352152
         409   0.0966868   0.0935329 0.000351376
         410   0.0964797   0.0935401 0.000350593
         411   0.0962543   0.0935467 0.000349802
         412   0.0960122   0.0935527 0.000349004
         413    0.095754    0.093558   0.0003482
         414   0.0954808   0.0935626  0.00034739
         415   0.0951944   0.0935666 0.000346575
         416   0.0948959   0.0935698 0.000345756
         417   0.0945875   0.0935722 0.000344936
         418   0.0942695   0.0935739 0.000344115
         419    0.093945   0.0935748 0.000343295
         420   0.0936155   0.0935749 0.000342477
         421   0.0932816   0.0935742 0.000341664
         422    0.092946   0.0935727 0.000340858
         423   0.0926098   0.0935704  0.00034006
         424   0.0922746   0.0935673 0.000339272
