#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         615     2.68798     2.68641 0.000387805
         616     2.68821     2.68641 0.000387186
         617     2.68843     2.68642 0.000386572
         618     2.68864     2.68642 0.000385964
         619     2.68882     2.68643  0.00038536
         620     2.68898     2.68643  0.00038476
         621     2.68913     2.68643 0.000384165
         622     2.68926     2.68644 0.000383574
         623     2.68937     2.68644 0.000382988
         624     2.68948     2.68645 0.000382405
         625     2.68956     2.68645 0.000381825
         626     2.68962     2.68646 0.000381249
         627     2.68967     2.68646 0.000380675
         628     2.68972     2.68647 0.000380104
         629     2.68975     2.68647 0.000379536
         630     2.68978     2.68648  0.00037897
         631      2.6898     2.68648 0.000378406
         632     2.68983     2.68649 0.000377844
         633     2.68984     2.68649 0.000377284
         634     2.68985      2.6865 0.000376726
         635     2.68986     2.68651  0.00037617
         636     2.68987     2.68651 0.000375616
         637     2.68989     2.68652 0.000375064
         638     2.68992     2.68652 0.000374514
         639     2.68995     2.68653 0.000373966
         640     2.68999     2.68653 0.000373421
         641     2.69002     2.68654 0.000372878
         642     2.69007     2.68654 0.000372338
         643     2.69012     2.68655   0.0003718
         644     2.69017     2.68655 0.000371265
         645     2.69022     2.68656 0.000370733
         646     2.69027     2.68657 0.000370204
         647     2.69032     2.68657 0.000369677
         648     2.69037     2.68658 0.000369153
         649     2.69041     2.68658 0.000368631
         650     2.69044     2.68659 0.000368112
         651     2.69045      2.6866 0.000367594
         652     2.69045      2.6866 0.000367078
         653     2.69045     2.68661 0.000366563
         654     2.69041     2.68661 0.000366049
         655     2.69036     2.68662 0.000365535
         656     2.69027     2.68662  0.00036502
         657     2.69017     2.68663 0.000364504
         658     2.69004     2.68663 0.000363987
         659     2.68988     2.68664 0.000363468
         660      2.6897     2.68664 0.000362947
         661     2.68949     2.68665 0.000362423
         662     2.68925     2.68665 0.000361897
         663     2.68901     2.68666 0.000361369
         664     2.68874     2.68666 0.000360838
         665     2.68846     2.68666 0.000360306
         666     2.68816     2.68666 0.000359772
         667     2.68787     2.68667 0.000359237
         668     2.68757     2.68667 0.000358702
         669     2.68726     2.68667 0.000358167
         670     2.68696     2.68667 0.000357632
         671     2.68668     2.68667 0.000357099
         672      2.6864     2.68667 0.000356568
         673     2.68614     2.68667 0.000356039
         674      2.6859     2.68667 0.000355513
         675     2.68568     2.68666 0.000354989
         676     2.68549     2.68666 0.000354468
         677     2.68532     2.68666  0.00035395
         678     2.68518     2.68666 0.000353435
         679     2.68506     2.68666 0.000352922
         680     2.68496     2.68665 0.000352412
         681      2.6849     2.68665 0.000351904
         682     2.68485     2.68665 0.000351398
         683     2.68483     2.68665 0.000350894
         684     2.68484     2.68664 0.000350391
         685     2.68486     2.68664 0.000349889
         686     2.68489     2.68664 0.000349388
         687     2.68495     2.68664 0.000348888
         688     2.68502     2.68663 0.000348389
         689      2.6851     2.68663  0.00034789
         690      2.6852     2.68663 0.000347392
         691      2.6853     2.68663 0.000346895
         692     2.68542     2.68663 0.000346398
         693     2.68554     2.68662 0.000345902
         694     2.68566     2.68662 0.000345406
         695     2.68579     2.68662 0.000344911
         696     2.68592     2.68662 0.000344417
         697     2.68605     2.68662 0.000343924
         698     2.68618     2.68662 0.000343432
         699     2.68631     2.68662 0.000342941
         700     2.68645     2.68662 0.000342451
         701     2.68658     2.68662 0.000341963
         702     2.68671     2.68662 0.000341475
         703     2.68685     2.68662  0.00034099
         704     2.68698     2.68662 0.000340506
         705     2.68711     2.68662 0.000340024
         706     2.68725     2.68662 0.000339543
         707     2.68739     2.68662 0.000339065
         708     2.68751     2.68662 0.000338588
         709     2.68764     2.68662 0.000338114
         710     2.68779     2.68663 0.000337641
         711     2.68792     2.68663 0.000337171
         712     2.68805     2.68663 0.000336704
         713     2.68819     2.68663 0.000336239
         714     2.68832     2.68663 0.000335776
         715     2.68846     2.68664 0.000335316
         716     2.68861     2.68664 0.000334859
         717     2.68875     2.68664 0.000334405
         718     2.68888     2.68665 0.000333954
         719     2.68901     2.68665 0.000333505
         720     2.68915     2.68665  0.00033306
         721     2.68929     2.68666 0.000332618
         722     2.68943     2.68666  0.00033218
         723     2.68956     2.68666 0.000331745
         724      2.6897     2.68667 0.000331313
         725     2.68984     2.68667 0.000330885
         726     2.68998     2.68668  0.00033046
         727     2.69011     2.68668  0.00033004
         728     2.69024     2.68669 0.000329622
