#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         538     4.01792     4.09577  0.00822724
         539     4.01265     4.09562  0.00821342
         540     4.00739     4.09545  0.00819983
         541     4.00223     4.09528  0.00818649
         542     3.99726      4.0951  0.00817338
         543     3.99254     4.09491  0.00816051
         544     3.98813     4.09471  0.00814787
         545     3.98408     4.09451  0.00813545
         546     3.98042      4.0943  0.00812323
         547     3.97715     4.09409   0.0081112
         548     3.97427     4.09387  0.00809935
         549     3.97176     4.09365  0.00808765
         550     3.96957     4.09342  0.00807609
         551     3.96766     4.09319  0.00806466
         552     3.96596     4.09296  0.00805334
         553     3.96442     4.09273  0.00804213
         554     3.96295      4.0925  0.00803102
         555     3.96149     4.09226  0.00802002
         556     3.95998     4.09202  0.00800913
         557     3.95836     4.09178  0.00799834
         558     3.95658     4.09154  0.00798768
         559      3.9546     4.09129  0.00797714
         560      3.9524     4.09105  0.00796675
         561     3.94994     4.09079  0.00795652
         562     3.94723     4.09054  0.00794646
         563     3.94427     4.09028  0.00793659
         564     3.94107     4.09002  0.00792693
         565     3.93767     4.08975  0.00791749
         566     3.93409     4.08947  0.00790827
         567     3.93037     4.08919   0.0078993
         568     3.92657      4.0889  0.00789058
         569     3.92274     4.08861  0.00788211
         570     3.91893     4.08831  0.00787391
         571     3.91522     4.08801  0.00786595
         572     3.91166      4.0877  0.00785824
         573     3.90833     4.08739  0.00785076
         574     3.90527     4.08707  0.00784349
         575     3.90256     4.08675  0.00783641
         576     3.90025     4.08643  0.00782949
         577     3.89839      4.0861   0.0078227
         578     3.89701     4.08577    0.007816
         579     3.89615     4.08545  0.00780936
         580     3.89583     4.08512  0.00780274
         581     3.89606     4.08479  0.00779609
         582     3.89684     4.08447  0.00778938
         583     3.89817     4.08415  0.00778257
         584     3.90002     4.08384  0.00777563
         585     3.90236     4.08353  0.00776852
         586     3.90516     4.08322  0.00776123
         587     3.90837     4.08292  0.00775372
         588     3.91194     4.08263  0.00774598
         589     3.91582     4.08235  0.00773801
         590     3.91996     4.08208  0.00772979
         591     3.92429     4.08181  0.00772132
         592     3.92876     4.08155   0.0077126
         593     3.93331      4.0813  0.00770364
         594      3.9379     4.08106  0.00769446
         595     3.94246     4.08083  0.00768505
         596     3.94695      4.0806  0.00767544
         597     3.95133     4.08038  0.00766563
         598     3.95556     4.08018  0.00765566
         599     3.95961     4.07997  0.00764552
         600     3.96343     4.07978  0.00763525
         601     3.96702     4.07959  0.00762485
         602     3.97034     4.07941  0.00761434
         603     3.97338     4.07923  0.00760374
         604     3.97612     4.07906  0.00759307
         605     3.97856      4.0789  0.00758234
         606     3.98068     4.07874  0.00757156
         607     3.98248     4.07858  0.00756074
         608     3.98397     4.07842  0.00754991
         609     3.98514     4.07827  0.00753907
         610       3.986     4.07812  0.00752822
         611     3.98656     4.07797  0.00751739
         612     3.98682     4.07782  0.00750658
         613      3.9868     4.07767  0.00749581
         614     3.98651     4.07752  0.00748507
         615     3.98595     4.07737  0.00747438
         616     3.98516     4.07722  0.00746374
         617     3.98413     4.07707  0.00745317
         618     3.98289     4.07692  0.00744267
         619     3.98146     4.07677  0.00743224
         620     3.97985     4.07661   0.0074219
         621     3.97809     4.07645  0.00741164
         622     3.97618     4.07629  0.00740148
         623     3.97414     4.07613  0.00739142
         624       3.972     4.07596  0.00738146
         625     3.96976     4.07579   0.0073716
         626     3.96745     4.07562  0.00736186
         627     3.96507     4.07544  0.00735223
         628     3.96265     4.07526  0.00734271
         629     3.96018     4.07508  0.00733332
         630     3.95768     4.07489  0.00732404
         631     3.95517      4.0747  0.00731489
         632     3.95263     4.07451  0.00730587
         633     3.95008     4.07431  0.00729697
         634     3.94753     4.07411   0.0072882
