#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         478    -1.27615    -1.41972  0.00914496
         479    -1.27748    -1.41942  0.00913069
         480    -1.27883    -1.41913  0.00911637
         481     -1.2802    -1.41884  0.00910199
         482    -1.28158    -1.41855  0.00908756
         483    -1.28296    -1.41827  0.00907308
         484    -1.28433    -1.41799  0.00905855
         485    -1.28571    -1.41772  0.00904398
         486    -1.28708    -1.41745  0.00902936
         487    -1.28846    -1.41719  0.00901471
         488    -1.28985    -1.41693  0.00900001
         489    -1.29125    -1.41667  0.00898527
         490    -1.29269    -1.41642   0.0089705
         491    -1.29416    -1.41617  0.00895568
         492    -1.29567    -1.41592  0.00894083
         493    -1.29724    -1.41568  0.00892593
         494    -1.29887    -1.41545    0.008911
         495    -1.30057    -1.41521  0.00889602
         496    -1.30235    -1.41499  0.00888099
         497    -1.30424    -1.41476  0.00886592
         498    -1.30623    -1.41455  0.00885079
         499    -1.30832    -1.41433  0.00883561
         500    -1.31054    -1.41413  0.00882038
         501    -1.31287    -1.41392  0.00880509
         502    -1.31533    -1.41373  0.00878974
         503    -1.31792    -1.41354  0.00877433
         504    -1.32063    -1.41335  0.00875886
         505    -1.32347    -1.41317  0.00874332
         506    -1.32643      -1.413  0.00872772
         507    -1.32948    -1.41284  0.00871206
         508    -1.33263    -1.41268  0.00869634
         509    -1.33585    -1.41253  0.00868057
         510    -1.33912    -1.41239  0.00866474
         511    -1.34241    -1.41225  0.00864887
         512     -1.3457    -1.41212  0.00863295
         513    -1.34895      -1.412    0.008617
         514    -1.35213    -1.41188  0.00860102
         515    -1.35521    -1.41177  0.00858503
         516    -1.35813    -1.41166  0.00856902
         517    -1.36087    -1.41157  0.00855301
         518    -1.36337    -1.41147    0.008537
         519    -1.36558    -1.41139  0.00852101
         520    -1.36749     -1.4113  0.00850504
         521    -1.36905    -1.41122   0.0084891
         522     -1.3702    -1.41114   0.0084732
         523    -1.37093    -1.41106  0.00845735
         524     -1.3712    -1.41099  0.00844155
         525    -1.37098    -1.41091  0.00842582
         526    -1.37024    -1.41083  0.00841015
         527    -1.36899    -1.41076  0.00839457
         528     -1.3672    -1.41067  0.00837908
         529     -1.3649    -1.41059  0.00836368
         530    -1.36209    -1.41049   0.0083484
         531    -1.35878     -1.4104  0.00833325
         532    -1.35501    -1.41029  0.00831824
         533    -1.35083    -1.41018  0.00830338
         534    -1.34628    -1.41006  0.00828869
         535    -1.34143    -1.40993  0.00827419
         536    -1.33635     -1.4098  0.00825989
         537    -1.33112    -1.40965  0.00824581
         538    -1.32583    -1.40949  0.00823196
         539    -1.32056    -1.40933  0.00821834
         540    -1.31539    -1.40916  0.00820496
         541    -1.31041    -1.40897  0.00819182
         542    -1.30567    -1.40878  0.00817893
         543    -1.30126    -1.40858  0.00816626
         544    -1.29721    -1.40838  0.00815381
         545    -1.29354    -1.40817  0.00814158
         546    -1.29026    -1.40795  0.00812953
         547    -1.28738    -1.40773  0.00811765
         548    -1.28487    -1.40751  0.00810594
         549    -1.28268    -1.40728  0.00809436
         550    -1.28076    -1.40705  0.00808291
         551    -1.27907    -1.40682  0.00807158
         552    -1.27752    -1.40658  0.00806035
         553    -1.27606    -1.40635  0.00804923
         554     -1.2746    -1.40611  0.00803821
         555    -1.27309    -1.40587   0.0080273
         556    -1.27147    -1.40563  0.00801651
         557    -1.26969    -1.40538  0.00800583
         558    -1.26771    -1.40514  0.00799528
         559    -1.26549    -1.40489  0.00798488
         560    -1.26303    -1.40463  0.00797464
         561    -1.26031    -1.40438  0.00796457
         562    -1.25735    -1.40412   0.0079547
         563    -1.25415    -1.40385  0.00794502
         564    -1.25074    -1.40358  0.00793557
         565    -1.24715     -1.4033  0.00792636
         566    -1.24342    -1.40302  0.00791739
         567    -1.23961    -1.40273  0.00790867
         568    -1.23577    -1.40244   0.0079002
         569    -1.23196    -1.40214    0.007892
         570    -1.22824    -1.40183  0.00788405
         571    -1.22468    -1.40152  0.00787634
         572    -1.22134    -1.40121  0.00786887
         573    -1.21828    -1.40089  0.00786161
         574    -1.21556    -1.40056  0.00785454
         575    -1.21325    -1.40024  0.00784763
         576    -1.21137    -1.39991  0.00784085
         577    -1.20999    -1.39958  0.00783417
         578    -1.20912    -1.39925  0.00782754
         579     -1.2088    -1.39892  0.00782093
         580    -1.20903     -1.3986   0.0078143
         581    -1.20981    -1.39827   0.0078076
         582    -1.21114    -1.39795  0.00780081
         583    -1.21298    -1.39763  0.00779387
         584    -1.21532    -1.39732  0.00778678
         585    -1.21811    -1.39701  0.00777949
         586    -1.22132    -1.39671  0.00777199
         587    -1.22489    -1.39642  0.00776426
         588    -1.22877    -1.39614  0.00775629
         589     -1.2329    -1.39586  0.00774807
         590    -1.23723    -1.39559   0.0077396
         591     -1.2417    -1.39533  0.00773089
         592    -1.24625    -1.39508  0.00772193
         593    -1.25083    -1.39483  0.00771274
         594     -1.2554     -1.3946  0.00770332
         595    -1.25988    -1.39437   0.0076937
         596    -1.26425    -1.39415  0.00768389
         597    -1.26848    -1.39394   0.0076739
         598    -1.27251    -1.39374  0.00766376
         599    -1.27632    -1.39355  0.00765347
         600    -1.27991    -1.39336  0.00764306
         601    -1.28322    -1.39317  0.00763254
         602    -1.28625      -1.393  0.00762192
         603      -1.289    -1.39282  0.00761123
         604    -1.29143    -1.39265  0.00760048
         605    -1.29355    -1.39249  0.00758969
         606    -1.29535    -1.39233  0.00757885
         607    -1.29683    -1.39217    0.007568
         608    -1.29799    -1.39202  0.00755714
         609    -1.29885    -1.39187  0.00754628
         610     -1.2994    -1.39171  0.00753543
         611    -1.29966    -1.39156   0.0075246
         612    -1.29964    -1.39141  0.00751381
         613    -1.29934    -1.39126  0.00750305
         614    -1.29878    -1.39111  0.00749234
         615    -1.29797    -1.39096  0.00748169
         616    -1.29695    -1.39081   0.0074711
         617     -1.2957    -1.39065  0.00746058
         618    -1.29426     -1.3905  0.00745014
         619    -1.29264    -1.39034  0.00743978
         620    -1.29087    -1.39018  0.00742951
         621    -1.28895    -1.39002  0.00741934
         622    -1.28692    -1.38985  0.00740926
         623    -1.28477    -1.38968  0.00739929
         624    -1.28252    -1.38951  0.00738942
         625     -1.2802    -1.38934  0.00737967
         626    -1.27783    -1.38916  0.00737003
         627     -1.2754    -1.38898  0.00736051
         628    -1.27293    -1.38879  0.00735111
         629    -1.27043     -1.3886  0.00734183
         630     -1.2679    -1.38841  0.00733267
         631    -1.26536    -1.38822  0.00732364
         632     -1.2628    -1.38802  0.00731474
         633    -1.26025    -1.38782  0.00730597
         634    -1.25768    -1.38761  0.00729733
         635     -1.2551     -1.3874  0.00728882
         636    -1.25251    -1.38719  0.00728045
         637    -1.24991    -1.38697  0.00727221
         638    -1.24728    -1.38676   0.0072641
         639    -1.24463    -1.38653  0.00725614
         640    -1.24196    -1.38631  0.00724832
         641    -1.23925    -1.38608  0.00724064
         642    -1.23651    -1.38584  0.00723311
         643    -1.23371    -1.38561  0.00722573
         644    -1.23088    -1.38537   0.0072185
         645      -1.228    -1.38512  0.00721143
         646    -1.22508    -1.38488  0.00720452
         647    -1.22209    -1.38462  0.00719778
         648    -1.21907    -1.38437  0.00719121
         649    -1.21602    -1.38411   0.0071848
         650    -1.21295    -1.38385  0.00717857
         651    -1.20986    -1.38358  0.00717252
         652    -1.20677    -1.38331  0.00716664
         653     -1.2037    -1.38303  0.00716094
         654    -1.20067    -1.38275  0.00715542
         655     -1.1977    -1.38247  0.00715007
         656    -1.19482    -1.38219  0.00714489
         657    -1.19205     -1.3819  0.00713988
         658    -1.18941     -1.3816  0.00713502
         659    -1.18693    -1.38131   0.0071303
         660    -1.18465    -1.38101  0.00712572
         661    -1.18257    -1.38071  0.00712126
         662    -1.18074    -1.38041  0.00711691
