#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         715     2.99162     2.97801 0.000992209
         716     2.99008     2.97803 0.000990966
         717      2.9885     2.97804 0.000989692
         718      2.9869     2.97806  0.00098839
         719     2.98527     2.97807 0.000987067
         720     2.98363     2.97807 0.000985726
         721     2.98199     2.97808 0.000984374
         722     2.98036     2.97808 0.000983015
         723     2.97876     2.97808 0.000981656
         724     2.97721     2.97808 0.000980301
         725     2.97573     2.97808 0.000978954
         726     2.97433     2.97807 0.000977619
         727     2.97303     2.97807 0.000976299
         728     2.97186     2.97806 0.000974995
         729     2.97084     2.97805 0.000973708
         730     2.96998     2.97804 0.000972437
         731      2.9693     2.97802  0.00097118
