#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         368     2.75001     2.74989  0.00773009
         369     2.74978     2.74989  0.00770914
         370     2.74964     2.74989  0.00768831
         371     2.74954     2.74989  0.00766758
         372     2.74948     2.74989  0.00764697
         373     2.74943     2.74989  0.00762647
         374     2.74936     2.74989  0.00760608
         375     2.74926     2.74989   0.0075858
         376      2.7491     2.74988  0.00756562
         377     2.74887     2.74988  0.00754555
         378     2.74855     2.74988  0.00752559
         379     2.74811     2.74987  0.00750574
         380     2.74755     2.74987  0.00748599
         381     2.74685     2.74986  0.00746635
         382     2.74601     2.74985  0.00744681
         383     2.74502     2.74984  0.00742737
         384     2.74387     2.74982  0.00740805
         385     2.74256      2.7498  0.00738883
         386      2.7411     2.74978  0.00736972
         387     2.73947     2.74975  0.00735073
         388     2.73768     2.74972  0.00733185
         389     2.73575     2.74969  0.00731309
         390     2.73367     2.74964  0.00729445
         391     2.73146      2.7496  0.00727594
         392     2.72913     2.74955  0.00725757
         393     2.72669     2.74949  0.00723934
         394     2.72415     2.74942  0.00722125
         395     2.72153     2.74935  0.00720331
         396     2.71885     2.74928  0.00718553
         397     2.71614     2.74919  0.00716792
         398      2.7134      2.7491  0.00715047
         399     2.71067     2.74901   0.0071332
         400     2.70797      2.7489  0.00711611
         401     2.70532     2.74879  0.00709919
         402     2.70275     2.74868  0.00708245
         403     2.70029     2.74856   0.0070659
         404     2.69796     2.74843  0.00704952
         405     2.69579      2.7483  0.00703331
         406      2.6938     2.74817  0.00701727
         407     2.69201     2.74803  0.00700138
         408     2.69045     2.74789  0.00698564
         409     2.68912     2.74775  0.00697004
         410     2.68805      2.7476  0.00695456
         411     2.68724     2.74746  0.00693919
         412      2.6867     2.74731  0.00692392
         413     2.68642     2.74716  0.00690872
         414     2.68641     2.74701  0.00689359
         415     2.68665     2.74687  0.00687851
         416     2.68713     2.74672  0.00686348
         417     2.68783     2.74658  0.00684847
         418     2.68874     2.74645  0.00683349
         419     2.68982     2.74631  0.00681851
